time_start,time_end,duration,src_ip,dest_ip,src_port,dest_port,protocol,flags,forwarding_status,source_type_of_service,ingress_packet_count,ingress_byte_count,label
2023-04-19 20:31:08,2023-05-11 10:54:56,7.092,119.180.63.253,126.75.48.203,59073,80,ICMP,F.....,0,0,441,580356,1
2023-08-20 19:29:22,2023-06-19 13:35:46,1.967,20.203.207.69,243.122.39.223,7783,53,TCP,...AP.,2,32,19,5377,0
2023-08-08 15:24:57,2023-07-20 01:56:57,7.908,128.143.221.204,159.126.108.122,8885,22,TCP,...AR.,1,32,200,248400,1
2023-08-29 02:54:51,2023-04-15 05:46:31,0.564,31.77.53.39,48.168.125.10,37397,25,ICMP,...AP.,0,16,43,26144,0
2023-04-27 08:27:16,2023-02-28 10:52:01,0.092,254.63.188.33,193.101.197.55,51187,53,TCP,.S....,0,24,25,26925,0
2023-07-23 16:18:33,2023-07-16 00:43:43,1.495,210.75.132.109,107.232.156.245,34734,8080,ICMP,...A..,1,24,10,11630,0
2023-07-22 06:55:46,2023-08-19 13:45:10,0.11,173.140.122.203,238.119.165.122,42038,53,ICMP,.S....,0,56,47,38493,0
2023-01-30 02:30:10,2023-03-23 08:57:33,0.274,121.247.52.203,133.249.133.27,27491,8080,TCP,...A..,1,64,16,15136,0
2023-08-19 02:15:32,2023-07-17 02:59:11,7.976,22.39.58.69,172.103.216.159,40076,53,ICMP,...AP.,1,0,29,36946,0
2023-06-02 15:31:05,2023-07-26 19:39:00,0.944,14.224.61.247,243.25.93.66,32586,80,ICMP,...AP.,1,8,32,28224,0
2023-01-28 01:02:40,2023-05-07 14:45:34,0.322,211.12.240.194,40.19.33.96,53398,8080,TCP,.S....,0,48,14,6566,0
2023-02-24 06:31:56,2023-05-03 22:31:48,1.211,68.41.223.220,87.136.165.253,54035,25,ICMP,...AP.,2,40,24,21504,0
2023-07-14 14:38:54,2023-06-03 20:21:23,0.245,117.23.28.139,215.9.190.10,17821,22,TCP,......,0,24,94,61382,1
2023-01-20 21:59:07,2023-06-17 00:39:40,0.043,203.226.220.132,233.72.139.49,7307,80,ICMP,...AP.,1,64,29,22301,0
2023-08-08 12:31:35,2023-03-11 15:07:06,4.231,47.205.119.87,39.135.191.28,6526,25,ICMP,.S....,1,48,1,795,0
